RMAT,526007,525999,526017,526068,526064,526027,526040,526086,526104,525991
flickr-growth,3093085,3089697,3000217,3015293,3012972,3012545,3023484,3012645,3026804,3039436
zhishi-hudong-relatedpages,1679995,1706731,1554535,1587802,1538535,1548341,1647328,1584873,1559693,1555242
wikipedia_link_en,12678496,12140549,12117057,12165638,12116148,12153861,12114588,12139134,12123076,12009897
twitter_www,35392014,35962655,35965048,36113437,36060318,35944597,36041775,36035167,36023845,35785270
random,9311171,9309076,9305568,9307996,9310398,9306431,9312789,9305844,9312068,9307535
pokec,1684501,1704808,1513565,1578294,1620880,1531520,1578720,1581379,1622227,1634929
baidu,1382150,1324338,1239461,1239038,1287385,1225200,1233873,1275762,1297596,1238021
wiki_communication,151900,151598,151660,151506,152006,152151,152121,151813,151782,151963
facebook,34942587,33715037,34620150,34598159,34627513,34609980,34568191,34468502,34611795,34696089
dbpedia,1003963,1014591,935384,915654,946624,924355,1097373,936302,968130,987145
wiki_talk_en,1783536,1783397,1788474,1783834,1786232,1785037,1789237,1785044,1786667,1785755
livejournal,9518000,8094921,8046352,7978747,8083299,9332564,8061760,8196614,8088053,8999918
twitter_mpi,33861862,33639999,33645866,33639211,33767348,33602531,33694502,33612314,33671010,33622053
wikipedia_en,7490975,6459110,6455436,6299832,6231027,6379120,6391839,6270590,6373239,6499735
